iter	MultiClass
0	1.034591157
1	0.9856502743
2	0.9397344435
3	0.9034203781
4	0.869456202
5	0.8396961123
6	0.8118793063
7	0.7871313193
8	0.761742005
9	0.7398387148
10	0.7206653689
11	0.7041267818
12	0.6874420171
13	0.6730250434
14	0.6607991893
15	0.648102738
16	0.6358834386
17	0.6227297699
18	0.6102324861
19	0.6011267001
20	0.5891253968
21	0.5802378703
22	0.5725256784
23	0.5621602075
24	0.5515491642
25	0.5454083251
26	0.5394157265
27	0.5317213556
28	0.5253729433
29	0.5181081601
30	0.5137504851
31	0.5067933077
32	0.50213578
33	0.4987017243
34	0.4915862858
35	0.4873471055
36	0.4814963312
37	0.4759817283
38	0.4712704522
39	0.4656853453
40	0.4612528749
41	0.4577599178
42	0.4533708255
43	0.4493198568
44	0.4451537113
45	0.4403503664
46	0.4379890561
47	0.4348521901
48	0.4313697434
49	0.4282207829
50	0.4261328937
51	0.4219181283
52	0.4172672522
53	0.414060509
54	0.4117042734
55	0.4078191512
56	0.4046732067
57	0.4010796915
58	0.3983762657
59	0.3966968842
60	0.3934873132
61	0.3906706478
62	0.3877527199
63	0.385033474
64	0.3816317581
65	0.3784393636
66	0.3760600725
67	0.3737831061
68	0.3712027562
69	0.3691146764
70	0.3667142345
71	0.3638296719
72	0.3606303147
73	0.3586401014
74	0.3561902583
75	0.3540325075
76	0.3522844031
77	0.3501209419
78	0.348603394
79	0.3464592875
80	0.3445817847
81	0.3422648262
82	0.3398513672
83	0.3378191837
84	0.3357793265
85	0.3329192344
86	0.3315177697
87	0.3291667875
88	0.3273830223
89	0.325555698
90	0.3235968235
91	0.3206808587
92	0.3187134676
93	0.3164555713
94	0.3154030779
95	0.3140640225
96	0.3127450877
97	0.3114015173
98	0.3093285419
99	0.3074492418
100	0.3060793074
101	0.3044990232
102	0.3032002569
103	0.3025031868
104	0.3012772474
105	0.2990714048
106	0.2972872067
107	0.2954600606
108	0.2939289523
109	0.2923438035
110	0.2900860874
111	0.2889515757
112	0.2865705436
113	0.2848650733
114	0.2831301211
115	0.2818390635
116	0.2796459073
117	0.2775218992
118	0.2762860227
119	0.2749726874
120	0.2733228836
121	0.2722201527
122	0.2705927269
123	0.2698118327
124	0.2686581849
125	0.2678782489
126	0.2665411331
127	0.2654076945
128	0.2642928947
129	0.2626857992
130	0.2617807746
131	0.2604723018
132	0.2591546022
133	0.2578959455
134	0.2563807164
135	0.2552323862
136	0.2542492054
137	0.252738961
138	0.2514237371
139	0.2498242292
140	0.2484719251
141	0.2477033962
142	0.2464865856
143	0.2456653698
144	0.2446374002
145	0.2430255696
146	0.2416764068
147	0.2408481551
148	0.2396672802
149	0.2387668534
150	0.2376216649
151	0.2361849369
152	0.235272825
153	0.2344404317
154	0.2335680436
155	0.2328820229
156	0.2317299727
157	0.2307496656
158	0.2295743693
159	0.2283669892
160	0.2278540844
161	0.2273147831
162	0.2268798575
163	0.226322708
164	0.225627444
165	0.224840706
166	0.2237088163
167	0.2227021977
168	0.2220005133
169	0.2210353093
170	0.220013296
171	0.2191428238
172	0.2177132548
173	0.2170466273
174	0.2164631535
175	0.2158358193
176	0.2149292121
177	0.214193533
178	0.2131725224
179	0.2128194563
180	0.2119178431
181	0.2111212804
182	0.2099410909
183	0.2087216458
184	0.2078298574
185	0.2072878872
186	0.2064067021
187	0.2053006363
188	0.2044772951
189	0.2037659803
190	0.2032810259
191	0.2025754209
192	0.2017953992
193	0.201192263
194	0.2006262875
195	0.1997232566
196	0.1990058217
197	0.1984355966
198	0.1979041854
199	0.1971169293
200	0.1967158212
201	0.1960693403
202	0.1958526962
203	0.195317696
204	0.1946691597
205	0.1941309925
206	0.1936160979
207	0.1929686398
208	0.1927463126
209	0.1920227189
210	0.1912039445
211	0.1907297906
212	0.190428357
213	0.1899167444
214	0.1893645576
215	0.1887488416
216	0.1884937927
217	0.1877551159
218	0.1872913796
219	0.1865557569
220	0.1859932888
221	0.1854430901
222	0.184765407
223	0.1841185636
224	0.1836865471
225	0.1833339428
226	0.1825781465
227	0.1821213979
228	0.1817657236
229	0.1813643229
230	0.1809233672
231	0.1804156337
232	0.1796663486
233	0.1788860883
234	0.1783969417
235	0.1777676044
236	0.1771689965
237	0.1767636088
238	0.1764704687
239	0.1760814076
240	0.175678137
241	0.1747772966
242	0.1742939102
243	0.1738537636
244	0.173527191
245	0.1732069477
246	0.1727732099
247	0.1725287193
248	0.1718268225
249	0.1714289439
250	0.1710523518
251	0.1705494261
252	0.1703725051
253	0.1700543881
254	0.1696239264
255	0.1693108078
256	0.1688781344
257	0.1685620067
258	0.1678617342
259	0.1674354901
260	0.1669160336
261	0.1666182293
262	0.1659409487
263	0.1655186193
264	0.1650870677
265	0.1648221881
266	0.1643491737
267	0.1638257247
268	0.1633853257
269	0.1629601065
270	0.1626055699
271	0.1622509104
272	0.1619106398
273	0.1616359343
274	0.1611915441
275	0.1602218353
276	0.1599389629
277	0.1597414531
278	0.1594367039
279	0.1590356638
280	0.1586756456
281	0.1583194956
282	0.1580911083
283	0.1577303084
284	0.1572463106
285	0.1570694363
286	0.1568610132
287	0.1564222685
288	0.1561766661
289	0.1558772176
290	0.1556053416
291	0.155351343
292	0.1551214565
293	0.1548632084
294	0.1545220631
295	0.1541801548
296	0.1537211526
297	0.1532451587
298	0.1530352574
299	0.1526923062
300	0.152330724
301	0.1516521444
302	0.1512775401
303	0.1506906833
304	0.150358565
305	0.1501785476
306	0.1499273337
307	0.1494689159
308	0.1492477644
309	0.1488893668
310	0.1485061368
311	0.1482052133
312	0.1478443187
313	0.1475831397
314	0.1472912004
315	0.1469571345
316	0.1467019242
317	0.1461688558
318	0.1459946786
319	0.1454798102
320	0.1453724459
321	0.1451397048
322	0.14475016
323	0.1445593342
324	0.144238429
325	0.1439838744
326	0.1438238284
327	0.143431001
328	0.1432334239
329	0.1429898429
330	0.1428813059
331	0.142423413
332	0.1421652542
333	0.1420241378
334	0.1416152482
335	0.1412500027
336	0.1408026336
337	0.1406575049
338	0.1401195978
339	0.1398339863
340	0.1394954657
341	0.1392921391
342	0.138744842
343	0.1384427081
344	0.1382342686
345	0.1379550216
346	0.1377423852
347	0.1375486896
348	0.1372882952
349	0.1370237621
350	0.1366258061
351	0.1362429128
352	0.1360234315
353	0.1357322216
354	0.1355304852
355	0.1353847732
356	0.1351610507
357	0.1347725143
358	0.1344290983
359	0.1338590257
360	0.1337686898
361	0.1335427808
362	0.1332691865
363	0.1331203695
364	0.1328693821
365	0.1325372508
366	0.1320458973
367	0.131808545
368	0.1313499567
369	0.131000765
370	0.1305885408
371	0.1304129854
372	0.1299146497
373	0.1297654659
374	0.1294946208
375	0.1293757891
376	0.1291708641
377	0.1290244832
378	0.1288258822
379	0.1285509926
380	0.1282770267
381	0.1281064105
382	0.1278996064
383	0.1276237818
384	0.1273955263
385	0.1270152038
386	0.1269464342
387	0.1268226895
388	0.1266202726
389	0.1265510313
390	0.1262659342
391	0.126181705
392	0.125950651
393	0.1257097845
394	0.1256359401
395	0.1254702996
396	0.1251283268
397	0.1249662036
398	0.1247680012
399	0.1245265931
400	0.1243256852
401	0.1241491985
402	0.1239645385
403	0.1237192713
404	0.1235669305
405	0.1233369513
406	0.1232358174
407	0.1229975843
408	0.1226665604
409	0.1224724475
410	0.1221940525
411	0.1218613862
412	0.1215616007
413	0.1214218037
414	0.1212268025
415	0.1211204556
416	0.1209440246
417	0.1207370694
418	0.1203306698
419	0.1201798894
420	0.1200458285
421	0.1199118292
422	0.1196845343
423	0.1195063593
424	0.1193793352
425	0.1192292096
426	0.1189778645
427	0.1187717579
428	0.1186145157
429	0.1184994855
430	0.11826381
431	0.1179783769
432	0.117807184
433	0.1176573202
434	0.1174895388
435	0.1173087971
436	0.1171007943
437	0.1169247377
438	0.1166260727
439	0.1164783481
440	0.1160527499
441	0.1159429665
442	0.1158216789
443	0.1155738928
444	0.1154771805
445	0.1152899753
446	0.1150718748
447	0.1149244876
448	0.1148285965
449	0.1144279686
450	0.1143083138
451	0.1140622222
452	0.1138124002
453	0.1136174252
454	0.1134750233
455	0.1132255277
456	0.1129895189
457	0.1128542486
458	0.1126718587
459	0.1124269617
460	0.112217962
461	0.1119313094
462	0.1117609599
463	0.1115809261
464	0.1113748868
465	0.111312989
466	0.1111740164
467	0.1110763114
468	0.1109709707
469	0.1108580312
470	0.1106271471
471	0.1104669633
472	0.1103614819
473	0.110167624
474	0.1099770254
475	0.1097678103
476	0.1096388031
477	0.109533755
478	0.109237942
479	0.1091695019
480	0.1090536844
481	0.1089496253
482	0.1088611625
483	0.1087339271
484	0.1085614157
485	0.1084633948
486	0.1083052654
487	0.1081213027
488	0.108032643
489	0.1079535485
490	0.1079118665
491	0.107772769
492	0.1076558557
493	0.1075385451
494	0.1074612369
495	0.1073977995
496	0.1071793406
497	0.1071153942
498	0.1068944582
499	0.1065099072
500	0.1063816244
501	0.1061068006
502	0.1058397836
503	0.1057501445
504	0.1054957744
505	0.1053230344
506	0.1052342197
507	0.1050919284
508	0.105010801
509	0.1048066162
510	0.1045863024
511	0.104443368
512	0.1043484986
513	0.1042865417
514	0.1041824555
515	0.1040212472
516	0.1038894516
517	0.1037641758
518	0.1034822328
519	0.103404704
520	0.1032710411
521	0.1031661718
522	0.1029381941
523	0.1027152678
524	0.1025967192
525	0.1024466013
526	0.1022566681
527	0.1021312102
528	0.1020792205
529	0.1019413092
530	0.1018302767
531	0.1016978066
