PM2.5,PM10,SO2,CO,O3,NO2,Category
0.2553191489361702,0.1875,0.07142857142857142,0.7714285714285714,0.18421052631578946,0.0,0
0.2553191489361702,0.4375,0.07142857142857142,0.8571428571428571,0.6842105263157895,0.0,0
0.148936170212766,0.375,0.03571428571428571,0.8857142857142857,0.6052631578947368,0.0,0
0.12765957446808512,0.75,0.07142857142857142,1.0,0.368421052631579,0.0,0
0.7234042553191489,0.4375,0.14285714285714285,0.5428571428571428,0.5,0.0,0
0.7234042553191489,0.65625,0.07142857142857142,0.5428571428571428,0.9210526315789473,0.0,0
0.7659574468085106,0.96875,0.07142857142857142,0.8857142857142857,0.4473684210526315,0.0,0
0.7659574468085106,0.375,0.07142857142857142,0.6571428571428571,0.13157894736842105,0.0,0
0.7659574468085106,0.53125,0.07142857142857142,0.9142857142857143,0.4473684210526315,0.0,0
0.7872340425531914,0.5625,0.03571428571428571,1.0,0.4736842105263158,0.0,0
0.7872340425531914,0.375,0.03571428571428571,0.5714285714285714,0.368421052631579,0.0,0
0.7659574468085106,0.3125,0.03571428571428571,0.6571428571428571,0.5263157894736842,0.0,0
0.7446808510638296,0.5,0.07142857142857142,0.7714285714285714,0.4473684210526315,0.0,0
0.7234042553191489,0.96875,0.03571428571428571,0.6571428571428571,0.9999999999999999,0.0,2
0.7234042553191489,0.65625,0.03571428571428571,1.0,0.42105263157894735,0.0,2
0.7234042553191489,0.40625,0.03571428571428571,0.4571428571428571,0.2894736842105263,0.0,2
0.7234042553191489,0.25,0.03571428571428571,0.6,0.39473684210526316,0.0,2
0.06382978723404259,0.53125,0.03571428571428571,0.9142857142857143,0.18421052631578946,0.0,2
0.04255319148936171,0.65625,0.03571428571428571,0.7999999999999999,0.13157894736842105,0.0,2
0.19148936170212766,0.90625,0.03571428571428571,1.0,0.26315789473684215,0.0,2
0.21276595744680854,0.84375,0.03571428571428571,0.7142857142857142,0.23684210526315788,0.0,2
0.2553191489361702,0.40625,0.03571428571428571,0.48571428571428565,0.18421052631578946,0.0,2
0.2765957446808511,0.6875,0.07142857142857142,0.8285714285714285,0.02631578947368421,0.0,2
0.3191489361702127,0.625,0.03571428571428571,0.5714285714285714,0.7105263157894737,0.0,2
0.553191489361702,0.84375,0.03571428571428571,1.0,0.3421052631578947,0.0,2
0.574468085106383,0.84375,0.03571428571428571,0.7999999999999999,0.21052631578947367,0.0,2
0.5957446808510638,0.1875,0.03571428571428571,0.5142857142857142,0.21052631578947367,0.0,2
0.6170212765957446,0.78125,0.07142857142857142,0.8285714285714285,0.23684210526315788,0.0,2
0.6595744680851063,0.875,0.03571428571428571,0.7428571428571428,0.23684210526315788,0.0,0
0.7021276595744681,0.53125,0.03571428571428571,0.7999999999999999,0.0,0.0,2
0.7021276595744681,0.375,0.03571428571428571,0.5142857142857142,0.368421052631579,0.0,2
0.7234042553191489,0.5,0.03571428571428571,0.48571428571428565,0.07894736842105263,0.0,2
